nama,id,kode,tingkat
Timor Tengah Utara,191419,5303,2
Kota Sorong,191586,9671,2
Maybrat,191585,9605,2
Raja Ampat,191583,9603,2
Sorong,189958,9601,2
Sorong Selatan,191582,9602,2
Tambrauw,191584,9604,2
Asmat,191533,9304,2
Boven Digoel,191531,9302,2
Mappi,191532,9303,2
Merauke,177622,9301,2
Deiyai,191574,9408,2
Dogiyai,191572,9406,2
Intan Jaya,191573,9407,2
Mimika,191570,9404,2
Nabire,185797,9401,2
Paniai,191569,9403,2
Puncak,191571,9405,2
Puncak Jaya,191568,9402,2
Jayawijaya,187122,9501,2
Kab Pegunungan Bintang,191575,9502,2
Lanny Jaya,191580,9507,2
Mamberamo Tengah,191578,9505,2
Nduga,191581,9508,2
Tolikara,191577,9504,2
Yahukimo,191576,9503,2
Yalimo,191579,9506,2
Pelalawan,191590,1405,2
Rokan Hilir,191592,1407,2
Rokan Hulu,191591,1406,2
Bengkalis,191200,1403,2
Indragiri Hilir,191201,1404,2
Indragiri Hulu,191199,1402,2
Kampar,114827,1401,2
Kepulauan Meranti,191204,1410,2
Kota Dumai,191206,1472,2
Kota Pekanbaru,191205,1471,2
Kuantan Singingi,191203,1409,2
Siak,191202,1408,2
Majene,191529,7605,2
Mamasa,191527,7603,2
Mamuju,191526,7602,2
Mamuju Tengah,191530,7606,2
Pasangkayu,191525,7601,2
Polewali Mandar,191528,7604,2
Bantaeng,191490,7303,2
Barru,191497,7311,2
Bone,191494,7308,2
Bulukumba,191489,7302,2
Enrekang,191501,7316,2
Gowa,191492,7306,2
Jeneponto,191491,7304,2
Kepulauan Selayar,172930,7301,2
Kota Makassar,191507,7371,2
Kota Palopo,191509,7373,2
Kota Parepare,191508,7372,2
Luwu,191502,7317,2
Luwu Timur,191505,7324,2
Luwu Utara,191504,7322,2
Maros,191495,7309,2
Pangkajene Dan Kepulauan,191496,7310,2
Pinrang,191500,7315,2
Sidenreng Rappang,191499,7314,2
Sinjai,191493,7307,2
Soppeng,191498,7312,2
Takalar,173379,7305,2
Tana Toraja,191503,7318,2
Toraja Utara,191506,7326,2
Wajo,174509,7313,2
Banggai,170707,7201,2
Banggai Kepulauan,191482,7207,2
Banggai Laut,191486,7211,2
Buol,191480,7205,2
Donggala,191478,7203,2
Kota Palu,191488,7271,2
Morowali,191481,7206,2
Morowali Utara,191487,7212,2
Parigi Moutong,191483,7208,2
Poso,191477,7202,2
Sigi,191485,7210,2
Tojo Una Una,191484,7209,2
Toli Toli,191479,7204,2
Bombana,191514,7406,2
Buton,191512,7404,2
Buton Selatan,191522,7415,2
Buton Tengah,191521,7414,2
Buton Utara,191517,7410,2
Kolaka,176256,7401,2
Kolaka Timur,191518,7411,2
Kolaka Utara,191516,7408,2
Konawe,191511,7402,2
Konawe Kepulauan,191519,7412,2
Konawe Selatan,191513,7405,2
Konawe Utara,191510,7409,2
Kota Bau Bau,191524,7472,2
Kota Kendari,191523,7471,2
Muna,176825,7403,2
Muna Barat,191520,7413,2
Wakatobi,191515,7407,2
Bolaang Mongondow,191462,7101,2
Bolaang Mongondow Selatan,191472,7111,2
Bolaang Mongondow Timur,191471,7110,2
Bolaang Mongondow Utara,191469,7108,2
Kep. Siau Tagulandang Biaro,191470,7109,2
Kepulauan Sangihe,191463,7103,2
Kepulauan Talaud,191465,7104,2
Kota Bitung,191474,7172,2
Kota Kotamobagu,191476,7174,2
Kota Manado,191473,7171,2
Kota Tomohon,191475,7173,2
Minahasa,191464,7102,2
Minahasa Selatan,191466,7105,2
Minahasa Tenggara,191468,7107,2
Minahasa Utara,191467,7106,2
Agam,191185,1306,2
Dharmasraya,191189,1310,2
Kepulauan Mentawai,191188,1309,2
Kota Bukittinggi,191196,1375,2
Kota Padang,191192,1371,2
Kota Padang Panjang,191195,1374,2
Kota Pariaman,191198,1377,2
Kota Payakumbuh,191197,1376,2
Kota Sawahlunto,191194,1373,2
Kota Solok,191193,1372,2
Lima Puluh Kota,191186,1307,2
Padang Pariaman,191184,1305,2
Pasaman,191187,1308,2
Pasaman Barat,191191,1312,2
Pesisir Selatan,113400,1301,2
Sijunjung,191182,1303,2
Solok,191181,1302,2
Solok Selatan,191190,1311,2
Tanah Datar,191183,1304,2
Banyuasin,191219,1607,2
Empat Lawang,191223,1611,2
Kota Lubuk Linggau,191228,1673,2
Kota Pagar Alam,191227,1672,2
Kota Palembang,191226,1671,2
Kota Prabumulih,191229,1674,2
Lahat,119377,1604,2
Muara Enim,191217,1603,2
Musi Banyuasin,191215,1606,2
Musi Rawas,191218,1605,2
Musi Rawas Utara,191225,1613,2
Ogan Ilir,191222,1610,2
Ogan Komering Ilir,191216,1602,2
Ogan Komering Ulu,118596,1601,2
Ogan Komering Ulu Selatan,191221,1609,2
Ogan Komering Ulu Timur,191220,1608,2
Penukal Abab Lematang Ilir,191224,1612,2
Asahan,191156,1209,2
Batu Bara,191166,1219,2
Dairi,191158,1211,2
Deli Serdang,191154,1207,2
Humbang Hasundutan,191163,1216,2
Karo,108070,1206,2
Kota Binjai,191177,1275,2
Kota Gunungsitoli,191180,1278,2
Kota Medan,191173,1271,2
Kota Padang Sidempuan,191179,1277,2
Kota Pematangsiantar,191174,1272,2
Kota Sibolga,191175,1273,2
Kota Tanjung Balai,191176,1274,2
Kota Tebing Tinggi,191178,1276,2
Labuhanbatu,191157,1210,2
Labuhanbatu Selatan,191169,1222,2
Labuhanbatu Utara,191170,1223,2
Langkat,191153,1205,2
Mandailing Natal,191160,1213,2
Nias,191152,1204,2
Nias Barat,191172,1225,2
Nias Selatan,191161,1214,2
Nias Utara,191171,1224,2
Padang Lawas,191168,1221,2
Padang Lawas Utara,191167,1220,2
Pakpak Bharat,191162,1215,2
Samosir,191164,1217,2
Serdang Bedagai,191165,1218,2
Simalungun,191155,1208,2
Tapanuli Selatan,191151,1203,2
Tapanuli Tengah,106849,1201,2
Tapanuli Utara,191150,1202,2
Toba,191159,1212,2
