nama,id,kode,tingkat
Sri Kuncoro,123573,1709032022,4
Srikaton,123561,1709032010,4
Sunda Kelapa,123564,1709032013,4
Talang Boseng,123569,1709032018,4
Talang Pauh,123560,1709032009,4
Batu Raja,123652,1709092002,4
Dusun Anyar,123653,1709092003,4
Dusun Baru I,123659,1709092009,4
Harapan Makmur,123660,1709092010,4
Linggar Galing,123658,1709092008,4
Margo Mulyo,123661,1709092011,4
Paku Haji,123656,1709092006,4
Pondok Kubang,123651,1709092001,4
Taba Jambu,123662,1709092012,4
Talang Tengah I,123655,1709092005,4
Tanjung Dalam,123654,1709092004,4
Tanjung Terdana,123657,1709092007,4
Bukit,123686,1709112010,4
Gajah Mati,123680,1709112004,4
Karang Nanding,123678,1709112002,4
Kota Niur,123687,1709112011,4
Lagan,123685,1709112009,4
Lagan Bungin,123682,1709112006,4
Padang Siring,123681,1709112005,4
Pagar Gunung,123677,1709112001,4
Pagar Jati,123683,1709112007,4
Semidang,123679,1709112003,4
Taba Lagan,123684,1709112008,4
Air Putih,123558,1709022017,4
Air Sebakul,123549,1709022001,4
Jayakarta,123553,1709022007,4
Jum'at,123556,1709022014,4
Kembang Seri,123551,1709022005,4
Nakau,123554,1709022008,4
Padang Ulak Tanjung,123557,1709022015,4
Pulau Panggung,123555,1709022009,4
Taba Pasmah,123550,1709022004,4
Tengah Padang,123552,1709022006,4
Bajak I,123618,1709062023,4
Datar Lebar,123616,1709062012,4
Karang Tengah,123610,1709062004,4
Lubuk Sini,123611,1709062005,4
Penum,123617,1709062013,4
Rindu Hati,123614,1709062010,4
Sukarami,123609,1709062003,4
Surau,123613,1709062009,4
Taba Baru,123619,1709062024,4
Taba Penanjung,123607,1709061007,4
Taba Teret,123612,1709062008,4
Tanjung Heran,123615,1709062011,4
Tanjung Raman,123608,1709062002,4
Keban Jati,122248,1701082001,4
Maras,122257,1701082010,4
Palak Bengkerung,122252,1701082005,4
Penandingan,122255,1701082008,4
Pino Baru,122254,1701082007,4
Suka Bandung,122256,1701082009,4
Suka Negeri,122250,1701082003,4
Sukamaju,122253,1701082006,4
Sukarami,122251,1701082004,4
Tanjung Beringin,122249,1701082002,4
Gindo Suli,122272,1701102003,4
Gunung Kayo,122271,1701102002,4
Kuripan,122274,1701102005,4
Padang Burnai,122279,1701102010,4
Padang Jawi,122277,1701102008,4
Padang Nibung,122275,1701102006,4
Talang Indah,122273,1701102004,4
Tanjung Aur,122278,1701102009,4
Tanjung Tebat,122276,1701102007,4
Tumbuk Tebing,122270,1701102001,4
Batu Ampar,122122,1701012001,4
Bumi Agung,122124,1701012003,4
Durian Sebatang,122135,1701012014,4
Karang Agung,122138,1701012028,4
Keban Agung I,122126,1701012005,4
Keban Agung II,122127,1701012006,4
Keban Agung III,122130,1701012009,4
Lawang Agung,122136,1701012015,4
Lubuk Resam,122139,1701012029,4
Muara Tiga,122132,1701012011,4
Muara Tiga Ilir,122140,1701012030,4
Nanti Agung,122137,1701012027,4
Pajar Bulan,122134,1701012013,4
Palak Siring,122125,1701012004,4
Rantau Sialang,122123,1701012002,4
Suka Nanti,122131,1701012010,4
Tanjung Alam,122128,1701012007,4
Tanjung Besar,122133,1701012012,4
Tanjung Negara,122129,1701012008,4
Air Sulau,122245,1701072011,4
Betungan,122236,1701072002,4
Karang Caya,122235,1701072001,4
Limus,122242,1701072008,4
Lubuk Ladung,122244,1701072010,4
Nanjungan,122238,1701072004,4
Padang Bindu,122240,1701072006,4
Pagar Banyu,122237,1701072003,4
Penindaian,122241,1701072007,4
Suka Jaya,122246,1701072012,4
Suka Rami,122239,1701072005,4
Sukaraja,122243,1701072009,4
Gelumbang,122210,1701052006,4
Gunung Ayu,122201,1701051009,4
Ibul,122205,1701051019,4
Kampung Baru,122203,1701051016,4
Kota Medan,122202,1701051010,4
Padang Berangin,122211,1701052018,4
Padang Kapuk,122206,1701051020,4
Padang Niur,122208,1701052004,4
Pagar Dewa,122207,1701052001,4
Pasar Baru,122204,1701051017,4
Tebat Kubu,122209,1701052005,4
Batu Kuning,122288,1701112001,4
Batu Lambang,122289,1701112002,4
Belakang Gedung,122283,1701111005,4
Gunung Mesir,122284,1701111006,4
Ketapang Besar,122286,1701111008,4
Padang Sialang,122285,1701111007,4
Pasar Bawah,122287,1701111009,4
Pasar Mulia,122282,1701111004,4
Tanjung Mulia,122281,1701111003,4
Gunung Kembang,122199,1701042033,4
Gunung Sakti,122192,1701042025,4
Jeranglah Rendah,122193,1701042026,4
Jeranglah Tinggi,122194,1701042027,4
Kayu Kunyit,122182,1701041022,4
Kembang Ayun,122195,1701042028,4
Ketaping,122187,1701042019,4
Kota Padang,122190,1701042023,4
Lubuk Sirih Ilir,122189,1701042021,4
Lubuk Sirih Ulu,122188,1701042020,4
Manggul,122185,1701042017,4
Mela'o,122191,1701042024,4
Padang Manis,122197,1701042031,4
Padang Pandan,122198,1701042032,4
Tambangan,122196,1701042029,4
Tanjung Besar,122184,1701042016,4
Tanjung Raman,122183,1701042001,4
Terulung,122186,1701042018,4
Air Umban,122174,1701032019,4
Anggut,122167,1701032002,4
Batu Bandung,122171,1701032015,4
Beringin Datar,122180,1701032025,4
Ganjuh,122176,1701032021,4
Gedung Agung,122170,1701032005,4
Kota Bumi,122173,1701032017,4
Masat,122165,1701031018,4
Padang Lebar,122169,1701032004,4
Padang Mumpo,122179,1701032024,4
Padang Tambak,122178,1701032023,4
Puding,122177,1701032022,4
Sebilo,122175,1701032020,4
Tanjung Aur I,122166,1701032001,4
Tanjung Eran,122168,1701032003,4
Ulak Lebar,122172,1701032016,4
Air Kemang,122214,1701062002,4
Bandung Ayu,122220,1701062008,4
Cinto Mandi,122225,1701062013,4
Karang Cayo,122227,1701062015,4
Kemang Manis,122230,1701062018,4
Kembang Seri,122226,1701062014,4
Nanjungan,122229,1701062017,4
Napal Melintang,122221,1701062009,4
Padang Beriang,122231,1701062019,4
Padang Serasan,122232,1701062020,4
Pagar Gading,122224,1701062012,4
Pasar Pino,122215,1701062003,4
Selali,122213,1701062001,4
Serang Bulan,122222,1701062010,4
Suka Bandung,122223,1701062011,4
Talang Padang,122217,1701062005,4
Tanggo Raso,122216,1701062004,4
Tanjung Aur II,122228,1701062016,4
Telaga Dalam,122233,1701062021,4
Tungkal I,122218,1701062006,4
Tungkal II,122219,1701062007,4
Babatan Ilir,122148,1701022007,4
Babatan Ulu,122149,1701022008,4
Banding Agung,122157,1701022020,4
Darat Sawah,122146,1701022005,4
Darat Sawah Ulu,122161,1701022029,4
Durian Seginim,122156,1701022018,4
Dusun Baru,122163,1701022031,4
Dusun Tengah,122159,1701022022,4
Gunung Ayu,122151,1701022011,4
Kota Agung,122147,1701022006,4
Kota Bumi Baru,122153,1701022015,4
Muara Danau,122150,1701022009,4
Muara Payang,122155,1701022017,4
Muara Pulutan,122152,1701022014,4
Padang Lebar,122143,1701022001,4
Padang Siring,122160,1701022023,4
Pajar Bulan,122158,1701022021,4
Pasar Baru,122142,1701021024,4
Sindang Bulan,122154,1701022016,4
Sukaraja,122144,1701022002,4
Tanjung Agung,122162,1701022030,4
Tanjung Menang,122145,1701022004,4
Air Tenam,122268,1701092010,4
Bandar Agung,122261,1701092003,4
Batu Kuning,122260,1701092002,4
Batu Panco,122259,1701092001,4
Kayu Ajaran,122267,1701092009,4
Keban Jati,122265,1701092007,4
Lubuk Tapi,122266,1701092008,4
Merambung,122262,1701092004,4
Simpang Pino,122263,1701092005,4
Talang Tinggi,122264,1701092006,4
Air Dingin,122762,1704052011,4
Bandar Bintuhan,122759,1704051013,4
Gedung Sako,122765,1704052015,4
Gedung Sako II,122776,1704052029,4
Jembatan Dua,122766,1704052016,4
Kepala Pasar,122771,1704052024,4
Padang Genting,122775,1704052028,4
Padang Petron,122772,1704052025,4
Pahlawan Ratu,122769,1704052022,4
Pasar Baru,122763,1704052012,4
Pasar Lama,122764,1704052014,4
Pasar Saoh,122770,1704052023,4
Pengubaian,122768,1704052021,4
Sawah Jangkung,122773,1704052026,4
Sekunyit,122760,1704052009,4
Selasih,122774,1704052027,4
Sinar Pagi,122777,1704052030,4
Suka Bandung,122761,1704052010,4
Tanjung Besar,122767,1704052017,4
Kemang Manis,122753,1704042004,4
Padang Baru,122757,1704042009,4
Padang Hangat,122752,1704042003,4
Pajar Bulan,122751,1704042002,4
Penyandingan,122754,1704042005,4
Sinar Jaya,122755,1704042006,4
Sukarami,122750,1704042001,4
Tanjung Iman,122749,1704041007,4
Tanjung Pandan,122756,1704042008,4
Bandu Agung,122742,1704032021,4
Coko Enau,122744,1704032028,4
Gunung Agung,122741,1704032009,4
Guru Agung,122740,1704032006,4
Guru Agung II,122747,1704032031,4
Padang Manis,122739,1704032003,4
Pancur Negara,122745,1704032029,4
Perugaian,122746,1704032030,4
Simpang Tiga,122737,1704031010,4
Tanjung Betung,122738,1704032001,4
Tanjung Betung II,122743,1704032027,4
Darat Sawah,122837,1704092007,4
Pagar Dewa,122841,1704092011,4
Penantian,122839,1704092009,4
Rigangan I,122833,1704092003,4
Rigangan II,122834,1704092004,4
Rigangan III,122835,1704092005,4
Siring Agung,122838,1704092008,4
Suka Rami II,122843,1704092013,4
Sukarami,122836,1704092006,4
Talang Marap,122842,1704092012,4
Talang Tais,122840,1704092010,4
Tanjung Ganti I,122831,1704092001,4
Tanjung Ganti II,122832,1704092002,4
Gedung Wani,122701,1704012001,4
Geramat,122703,1704012003,4
Gunung Megang,122710,1704012010,4
Gunung Terang,122708,1704012008,4
Jawi,122712,1704012021,4
Papahan,122713,1704012022,4
Penandingan,122702,1704012002,4
Pengurung,122706,1704012006,4
Pinang Jawa,122707,1704012007,4
Pinang Jawa II,122714,1704012023,4
Talang Berangin,122711,1704012020,4
Talang Padang,122709,1704012009,4
Tanjung Alam,122704,1704012004,4
Tanjung Baru,122705,1704012005,4
Bangun Jiwa,122845,1704102001,4
Benua Ratu,122852,1704102008,4
Cahaya Negeri,122846,1704102002,4
Durian Besar,122849,1704102005,4
Ganda Suli,122848,1704102004,4
Kepahyang,122854,1704102010,4
Padang Jati,122847,1704102003,4
Pulau Panggung,122855,1704102011,4
Serdang Indah,122856,1704102012,4
Tanjung Beringin,122850,1704102006,4
Tuguk,122853,1704102009,4
Umbul,122851,1704102007,4
Aur Gading,122886,1704132009,4
Datar Lebar,122878,1704132001,4
Datar Lebar II,122885,1704132008,4
Lawang Agung,122882,1704132005,4
Senak,122884,1704132007,4
Sinar Bulan,122880,1704132003,4
Sukananti,122881,1704132004,4
Tanjung Bunian,122879,1704132002,4
Tanjung Kurung,122883,1704132006,4
Bukit Makmur,122864,1704112007,4
Cinta Makmur,122863,1704112006,4
Muara Sahung,122858,1704112001,4
Sumber Makmur,122861,1704112004,4
Tri Tunggal Bakti,122859,1704112002,4
Ulak Bandung,122862,1704112005,4
Ulak Lebar,122860,1704112003,4
Air Jelatang,122794,1704062017,4
Air Long,122780,1704062002,4
Arga Mulya,122793,1704062016,4
Bakal Makmur,122790,1704062013,4
Benteng Harapan,122789,1704062012,4
Kedataran,122785,1704062007,4
Linau,122781,1704062003,4
Muara Jaya,122791,1704062014,4
Parda Suka,122779,1704062001,4
Penyandingan,122787,1704062009,4
Sinar Mulya,122797,1704062021,4
Suka Menanti,122788,1704062010,4
Sumber Harapan,122795,1704062019,4
Tanjung Agung,122792,1704062015,4
Tanjung Aur,122786,1704062008,4
Tanjung Baru,122783,1704062005,4
Tanjung Beringin,122796,1704062020,4
Tanjung Ganti,122784,1704062006,4
Way Hawang,122782,1704062004,4
Air Batang,122813,1704072017,4
Air Palawan,122804,1704072008,4
Batu Lungun,122806,1704072010,4
Bukit Indah,122809,1704072013,4
Gedung Menung,122800,1704072002,4
Merpas,122802,1704072005,4
Muara Dua,122799,1704072001,4
Pasar Baru,122811,1704072015,4
Pasar Jum'at,122815,1704072019,4
Sinar Banten,122814,1704072018,4
Suka Jaya,122810,1704072014,4
Suku Tiga,122808,1704072012,4
Sumber Harapan,122807,1704072011,4
Tanjung Betuah,122803,1704072007,4
Tebing Rambutan,122805,1704072009,4
Tri Jaya,122812,1704072016,4
Ulak Pandan,122801,1704072003,4
Air Kering,122892,1704142005,4
Air Kering II,122896,1704142009,4
Gunung Kaya,122893,1704142006,4
Pulau Panggung,122888,1704142001,4
Talang Besar,122889,1704142002,4
Talang Jawi I,122890,1704142003,4
Talang Jawi II,122891,1704142004,4
Talang Padang,122895,1704142008,4
Ulak Agung,122894,1704142007,4
Bungin Tambun,122899,1704152002,4
Bungin Tambun II,122900,1704152003,4
Bungin Tambun III,122901,1704152004,4
Coko Betung,122906,1704152009,4
Jati Mulyo,122908,1704152011,4
Manau IX,122902,1704152005,4
Manau IX Dua,122903,1704152006,4
Marga Mulyo,122907,1704152010,4
Naga Rantai,122898,1704152001,4
Pagar Alam,122904,1704152007,4
Pagar Gunung,122905,1704152008,4
Awat Mata,122824,1704082008,4
Bunga Melur,122817,1704082001,4
Cahaya Batin,122823,1704082007,4
Gunung Tiga,122820,1704082004,4
Gunung Tiga II,122827,1704082011,4
Karang Dapo,122818,1704082002,4
Lubuk Gung,122819,1704082003,4
Masria Baru,122829,1704082013,4
Mentiring,122822,1704082006,4
Nusuk,122825,1704082009,4
Padang Panjang,122828,1704082012,4
Suka Merindu,122821,1704082005,4
Tanjung Harapan,122826,1704082010,4
Aur Ringit,122718,1704022004,4
Beriang Tinggi,122724,1704022013,4
Padang Kedondong,122729,1704022018,4
Padang Leban,122723,1704022012,4
Padang Tinggi,122730,1704022020,4
Pelajaran,122719,1704022008,4
Pelajaran II,122726,1704022015,4
Selika,122721,1704022010,4
Selika II,122727,1704022016,4
Selika III,122735,1704022025,4
Sulauwangi,122728,1704022017,4
Tanjung Aur,122717,1704022003,4
Tanjung Aur II,122733,1704022023,4
Tanjung Bulan,122725,1704022014,4
Tanjung Iman,122722,1704022011,4
Tanjung Iman II,122734,1704022024,4
Tanjung Kemuning,122720,1704022009,4
Tanjung Kemuning II,122731,1704022021,4
Tanjung Kemuning III,122732,1704022022,4
Tinggi Ari,122716,1704022002,4
Babat,122871,1704122006,4
Cucupan,122868,1704122003,4
Kasuk Baru,122875,1704122010,4
Kepahyang,122872,1704122007,4
Muara Tetap,122874,1704122009,4
Padang Binjai,122876,1704122011,4
Pagar Dewa,122869,1704122004,4
Suka Banjar,122866,1704122001,4
Suka Raja,122877,1704122012,4
Tanjung Agung,122870,1704122005,4
Tanjung Bunga,122867,1704122002,4
Tanjung Dalam,122873,1704122008,4
Air Raman,123425,1708012025,4
Batu Belarik,123420,1708012016,4
Bukit Menyan,123419,1708012011,4
Cinta Mandi Baru,123427,1708012029,4
Cinto Mandi,123416,1708012008,4
Embong Ijuk,123413,1708012004,4
Embong Sido,123421,1708012017,4
