nama,id,kode,tingkat
Lhoksukon,103358,110804,3
Matangkuli,103434,110805,3
Meurah Mulia,103509,110807,3
Muara Batu,103484,110806,3
Nibong,104020,110821,3
Nisam,103874,110816,3
Nisam Antara,104116,110827,3
Paya Bakong,103980,110820,3
Pirak Timur,104070,110824,3
Samudera,103560,110808,3
Sawang,103834,110815,3
Seunuddon,103601,110809,3
Simpang Kramat,104041,110822,3
Syamtalira Aron,103635,110810,3
Syamtalira Bayu,103670,110811,3
T. Jambo Aye,103786,110814,3
Tanah Luas,103709,110812,3
Tanah Pasir,103767,110813,3
Bandar,106042,111704,3
Bener Kelipah,106177,111708,3
Bukit,106078,111705,3
Gajah Putih,106206,111710,3
Mesidah,106190,111709,3
Permata,105999,111702,3
Pintu Rime Gayo,105975,111701,3
Syiah Utama,106027,111703,3
Timang Gajah,106146,111707,3
Wih Pesam,106119,111706,3
Blangjerango,105330,111309,3
Blangkejeren,105214,111301,3
Blangpegayon,105297,111306,3
Dabun Gelang,105320,111308,3
Kutapanjang,105236,111302,3
Pantan Cuaca,105353,111311,3
Pining,105287,111305,3
Puteri Betung,105310,111307,3
Rikit Gaib,105249,111303,3
Terangun,105263,111304,3
Teripe Jaya,105341,111310,3
Baiturrahman,106447,117101,3
Banda Raya,106515,117107,3
Jaya Baru,106526,117108,3
Kuta Alam,106458,117102,3
Kuta Raja,106508,117106,3
Lueng Bata,106498,117105,3
Meuraxa,106470,117103,3
Syiah Kuala,106487,117104,3
Ulee Kareng,106536,117109,3
Langsa Barat,106657,117402,3
Langsa Baro,106699,117405,3
Langsa Kota,106671,117403,3
Langsa Lama,106682,117404,3
Langsa Timur,106640,117401,3
Sukajaya,106552,117202,3
Sukakarya,106546,117201,3
Sukamakmue,106560,117203,3
Longkib,106789,117505,3
Penanggalan,106730,117502,3
Rundeng,106745,117503,3
Simpang Kiri,106712,117501,3
Sultan Daulat,106769,117504,3
Banda Sakti,106585,117302,3
Blang Mangat,106604,117303,3
Muara Dua,106567,117301,3
Muara Satu,106627,117304,3
Beutong,105604,111504,3
Beutong Ateuh Banggalang,105743,111510,3
Darul Makmur,105629,111505,3
Kuala,105515,111501,3
Kuala Pesisir,105691,111507,3
Seunagan,105533,111502,3
Seunagan Timur,105569,111503,3
Suka Makmue,105670,111506,3
Tadu Raya,105708,111508,3
Tripa Makmur,105731,111509,3
Cibeber,154794,367201,3
Cilegon,154801,367202,3
Citangkil,154837,367208,3
Ciwandan,154812,367204,3
Gerogol,154825,367206,3
Jombang,154819,367205,3
Pulomerak,154807,367203,3
Purwakarta,154830,367207,3
Alafan,104240,110908,3
Salang,104140,110902,3
Simeulue Barat,104205,110906,3
Simeulue Cut,104262,110910,3
Simeulue Tengah,104123,110901,3
Simeulue Timur,104176,110904,3
